Augmented Data,RBF SVM,Naive Bayes,Neural Net
Original + -2-pitch -1-pitch 1-pitch 2-pitch 4-pitch,0.735,0.692,0.646
Original + -4-pitch -3-pitch -2-pitch -1-pitch 1-pitch 2-pitch,0.738,0.692,0.665
Original + -3-pitch -1-pitch,0.772,0.691,0.683
Original + -4-pitch -3-pitch -2-pitch 3-pitch,0.744,0.691,0.64
Original + -4-pitch -3-pitch -1-pitch 4-pitch,0.746,0.691,0.673
Original + -4-pitch -2-pitch 1-pitch 2-pitch,0.739,0.691,0.636
Original + -2-pitch -1-pitch 1-pitch 3-pitch,0.737,0.691,0.66
Original + -1-pitch 1-pitch 2-pitch 3-pitch,0.728,0.691,0.662
Original + -4-pitch -3-pitch -2-pitch -1-pitch 4-pitch,0.74,0.691,0.655
Original + -3-pitch -2-pitch 2-pitch 3-pitch,0.735,0.69,0.645
Original + -4-pitch -3-pitch 1-pitch 2-pitch 3-pitch,0.742,0.69,0.656
Original + -3-pitch -2-pitch 1-pitch 2-pitch 3-pitch,0.732,0.69,0.65
Original + 2-pitch,0.743,0.689,0.662
Original + -1-pitch 2-pitch,0.736,0.689,0.665
Original + -1-pitch 3-pitch,0.744,0.689,0.653
Original + 1-pitch 2-pitch,0.747,0.689,0.641
Original + -4-pitch -2-pitch -1-pitch 1-pitch,0.748,0.689,0.663
Original + -1-pitch 1-pitch 2-pitch 4-pitch,0.729,0.689,0.663
Original + -4-pitch -3-pitch -2-pitch 2-pitch 3-pitch,0.736,0.689,0.642
Original + -3-pitch -2-pitch -1-pitch 2-pitch 4-pitch,0.732,0.689,0.665
Original + -4-pitch -3-pitch 4-pitch,0.742,0.688,0.649
Original + -4-pitch -2-pitch 4-pitch,0.736,0.688,0.662
Original + -1-pitch 1-pitch 3-pitch,0.736,0.688,0.664
Original + -4-pitch -2-pitch -1-pitch 3-pitch,0.739,0.688,0.661
Original + -3-pitch -2-pitch -1-pitch 4-pitch,0.745,0.688,0.678
Original + -2-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.736,0.688,0.637
Original + -3-pitch 1-pitch 3-pitch,0.744,0.687,0.675
Original + -4-pitch -3-pitch 3-pitch 4-pitch,0.732,0.687,0.668
Original + -3-pitch -2-pitch 1-pitch 4-pitch,0.732,0.687,0.655
Original + -3-pitch -2-pitch 3-pitch 4-pitch,0.735,0.687,0.665
Original + -2-pitch -1-pitch 2-pitch 4-pitch,0.723,0.687,0.633
Original + -3-pitch -1-pitch 4-pitch,0.74,0.686,0.652
Original + -4-pitch -3-pitch -2-pitch -1-pitch 1-pitch,0.752,0.686,0.651
Original + -4-pitch -3-pitch -2-pitch 1-pitch 3-pitch,0.737,0.686,0.65
Original + -3-pitch -2-pitch -1-pitch 1-pitch 3-pitch,0.739,0.686,0.678
Original + -2-pitch -1-pitch 2-pitch 3-pitch 4-pitch,0.724,0.686,0.634
Original + -4-pitch -3-pitch -2-pitch -1-pitch 2-pitch 3-pitch,0.74,0.686,0.646
Original + -4-pitch -3-pitch -2-pitch 1-pitch 2-pitch 3-pitch,0.735,0.686,0.655
Original + -4-pitch -1-pitch 2-pitch,0.746,0.685,0.66
Original + -3-pitch -1-pitch 3-pitch,0.744,0.685,0.69
Original + -2-pitch -1-pitch 1-pitch 4-pitch,0.732,0.685,0.661
Original + -4-pitch -3-pitch -2-pitch 3-pitch 4-pitch,0.729,0.685,0.662
Original + -4-pitch -3-pitch -1-pitch 1-pitch 3-pitch,0.741,0.685,0.675
Original + -2-pitch -1-pitch 1-pitch 3-pitch 4-pitch,0.734,0.685,0.663
Original + -1-pitch,0.762,0.684,0.687
Original + -4-pitch -3-pitch -2-pitch 4-pitch,0.74,0.684,0.652
Original + -4-pitch -2-pitch -1-pitch 2-pitch,0.745,0.684,0.653
Original + -3-pitch -2-pitch -1-pitch 1-pitch 4-pitch,0.735,0.684,0.659
Original + -3-pitch -2-pitch -1-pitch 2-pitch 3-pitch,0.731,0.684,0.669
Original + -2-pitch -1-pitch 1-pitch 2-pitch 3-pitch,0.729,0.684,0.653
Original + -4-pitch -3-pitch -2-pitch -1-pitch 1-pitch 3-pitch,0.743,0.684,0.666
Original + -4-pitch -3-pitch -2-pitch -1-pitch 3-pitch 4-pitch,0.736,0.684,0.648
Original + -2-pitch 1-pitch 3-pitch 4-pitch,0.735,0.683,0.658
Original + -4-pitch -3-pitch 1-pitch 2-pitch 4-pitch,0.73,0.683,0.673
Original + -3-pitch -2-pitch -1-pitch 3-pitch 4-pitch,0.735,0.683,0.655
Original + -3-pitch -2-pitch -1-pitch 1-pitch 2-pitch 3-pitch,0.731,0.683,0.653
Original + -4-pitch 4-pitch,0.734,0.682,0.653
Original + -1-pitch 1-pitch 4-pitch,0.734,0.682,0.654
Original + -1-pitch 2-pitch 4-pitch,0.733,0.682,0.664
Original + -3-pitch -1-pitch 1-pitch 2-pitch,0.731,0.682,0.688
Original + -1-pitch 1-pitch 3-pitch 4-pitch,0.736,0.682,0.666
Original + 1-pitch 3-pitch,0.734,0.681,0.662
Original + -3-pitch -2-pitch -1-pitch 1-pitch,0.751,0.681,0.666
Original + -3-pitch -2-pitch 1-pitch 2-pitch 4-pitch,0.728,0.681,0.656
Original + -4-pitch -3-pitch -2-pitch -1-pitch 2-pitch 4-pitch,0.737,0.681,0.672
Original + -4-pitch -3-pitch -2-pitch 1-pitch 2-pitch 4-pitch,0.733,0.681,0.644
Original + -4-pitch -3-pitch -1-pitch 1-pitch 2-pitch 3-pitch,0.732,0.681,0.674
Original + -3-pitch 2-pitch 3-pitch,0.74,0.68,0.68
Original + -4-pitch -3-pitch -2-pitch 1-pitch 4-pitch,0.734,0.68,0.66
Original + -4-pitch -3-pitch -2-pitch 2-pitch 4-pitch,0.733,0.68,0.657
Original + -4-pitch -3-pitch -1-pitch 1-pitch 4-pitch,0.731,0.68,0.662
Original + -4-pitch -3-pitch -1-pitch 3-pitch 4-pitch,0.731,0.68,0.653
